id	type	class	reason
pressure.cpu_full_avg10	Float	candidate_individual	scalar numeric metric
pressure.cpu_full_avg60	Float	candidate_individual	scalar numeric metric
pressure.cpu_full_avg300	Float	candidate_individual	scalar numeric metric
pressure.cpu_full_total	Integer	candidate_individual	scalar numeric metric
pressure.io_some_avg10	Float	existing_individual	metric article exists
pressure.io_some_avg60	Float	candidate_individual	scalar numeric metric
pressure.io_some_avg300	Float	candidate_individual	scalar numeric metric
pressure.io_some_total	Integer	candidate_individual	scalar numeric metric
pressure.io_full_avg10	Float	existing_individual	metric article exists
pressure.io_full_avg60	Float	candidate_individual	scalar numeric metric
pressure.io_full_avg300	Float	candidate_individual	scalar numeric metric
pressure.io_full_total	Integer	candidate_individual	scalar numeric metric
pressure.memory_some_avg10	Float	candidate_individual	scalar numeric metric
pressure.memory_some_avg60	Float	candidate_individual	scalar numeric metric
pressure.memory_some_avg300	Float	candidate_individual	scalar numeric metric
pressure.memory_some_total	Integer	candidate_individual	scalar numeric metric
pressure.memory_full_avg10	Float	existing_individual	metric article exists
pressure.memory_full_avg60	Float	candidate_individual	scalar numeric metric
pressure.memory_full_avg300	Float	candidate_individual	scalar numeric metric
pressure.memory_full_total	Integer	candidate_individual	scalar numeric metric
processes.process_count	Integer	existing_individual	metric article exists
processes.processes	Table	hard_table	table structure varies; best as source/group guide
schedstat.version	Text	hard_text	host-specific text; low reusable metric semantics
schedstat.cpu_count	Integer	candidate_individual	scalar numeric metric
schedstat.cpu_stats	Table	hard_table	table structure varies; best as source/group guide
softirqs.softirq_count	Integer	candidate_individual	scalar numeric metric
softirqs.softirqs	Table	hard_table	table structure varies; best as source/group guide
ss.tcp_established	Integer	candidate_individual	scalar numeric metric
ss.tcp_timewait	Integer	candidate_individual	scalar numeric metric
ss.tcp_orphaned	Integer	candidate_individual	scalar numeric metric
ss.tcp_closed	Integer	candidate_individual	scalar numeric metric
ss.udp_count	Integer	candidate_individual	scalar numeric metric
stat.cpu_user	Integer	existing_individual	metric article exists
stat.cpu_system	Integer	existing_individual	metric article exists
stat.cpu_idle	Integer	candidate_individual	scalar numeric metric
stat.cpu_iowait	Integer	existing_individual	metric article exists
stat.cpu_usage_pct	Float	candidate_individual	scalar numeric metric
stat.context_switches	Integer	existing_individual	metric article exists
stat.forks_total	Integer	candidate_individual	scalar numeric metric
stat.procs_running	Integer	existing_individual	metric article exists
stat.procs_blocked	Integer	candidate_individual	scalar numeric metric
swaps.total_size	Bytes	candidate_individual	scalar numeric metric
swaps.total_used	Bytes	candidate_individual	scalar numeric metric
swaps.usage_pct	Float	candidate_individual	scalar numeric metric
swaps.swap_areas	Table	hard_table	table structure varies; best as source/group guide
uptime.uptime	Duration	candidate_individual	scalar numeric metric
uptime.idle	Duration	candidate_individual	scalar numeric metric
uptime.idle_pct	Float	candidate_individual	scalar numeric metric
version.raw	Text	hard_text	host-specific text; low reusable metric semantics
version.kernel_version	Text	hard_text	host-specific text; low reusable metric semantics
version.compiler	Text	hard_text	host-specific text; low reusable metric semantics
vmstat.nr_free_pages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_zone_inactive_anon	Integer	candidate_individual	scalar numeric metric
vmstat.nr_zone_active_anon	Integer	candidate_individual	scalar numeric metric
vmstat.nr_zone_inactive_file	Integer	candidate_individual	scalar numeric metric
vmstat.nr_zone_active_file	Integer	candidate_individual	scalar numeric metric
vmstat.nr_zone_unevictable	Integer	candidate_individual	scalar numeric metric
vmstat.nr_zone_write_pending	Integer	candidate_individual	scalar numeric metric
vmstat.nr_mlock	Integer	candidate_individual	scalar numeric metric
vmstat.nr_bounce	Integer	candidate_individual	scalar numeric metric
vmstat.nr_zspages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_free_cma	Integer	candidate_individual	scalar numeric metric
vmstat.nr_unaccepted	Integer	candidate_individual	scalar numeric metric
vmstat.numa_hit	Integer	candidate_individual	scalar numeric metric
vmstat.numa_miss	Integer	candidate_individual	scalar numeric metric
vmstat.numa_foreign	Integer	candidate_individual	scalar numeric metric
vmstat.numa_interleave	Integer	candidate_individual	scalar numeric metric
vmstat.numa_local	Integer	candidate_individual	scalar numeric metric
vmstat.numa_other	Integer	candidate_individual	scalar numeric metric
vmstat.nr_inactive_anon	Integer	candidate_individual	scalar numeric metric
vmstat.nr_active_anon	Integer	candidate_individual	scalar numeric metric
vmstat.nr_inactive_file	Integer	candidate_individual	scalar numeric metric
vmstat.nr_active_file	Integer	candidate_individual	scalar numeric metric
vmstat.nr_unevictable	Integer	candidate_individual	scalar numeric metric
vmstat.nr_slab_reclaimable	Integer	candidate_individual	scalar numeric metric
vmstat.nr_slab_unreclaimable	Integer	candidate_individual	scalar numeric metric
vmstat.nr_isolated_anon	Integer	candidate_individual	scalar numeric metric
vmstat.nr_isolated_file	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_nodes	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_refault_anon	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_refault_file	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_activate_anon	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_activate_file	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_restore_anon	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_restore_file	Integer	candidate_individual	scalar numeric metric
vmstat.workingset_nodereclaim	Integer	candidate_individual	scalar numeric metric
vmstat.nr_anon_pages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_mapped	Integer	candidate_individual	scalar numeric metric
vmstat.nr_file_pages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_dirty	Integer	existing_individual	metric article exists
vmstat.nr_writeback	Integer	existing_individual	metric article exists
vmstat.nr_writeback_temp	Integer	candidate_individual	scalar numeric metric
vmstat.nr_shmem	Integer	candidate_individual	scalar numeric metric
vmstat.nr_shmem_hugepages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_shmem_pmdmapped	Integer	candidate_individual	scalar numeric metric
vmstat.nr_file_hugepages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_file_pmdmapped	Integer	candidate_individual	scalar numeric metric
vmstat.nr_anon_transparent_hugepages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_vmscan_write	Integer	candidate_individual	scalar numeric metric
vmstat.nr_vmscan_immediate_reclaim	Integer	candidate_individual	scalar numeric metric
vmstat.nr_dirtied	Integer	candidate_individual	scalar numeric metric
vmstat.nr_written	Integer	candidate_individual	scalar numeric metric
vmstat.nr_throttled_written	Integer	candidate_individual	scalar numeric metric
vmstat.nr_kernel_misc_reclaimable	Integer	candidate_individual	scalar numeric metric
vmstat.nr_foll_pin_acquired	Integer	candidate_individual	scalar numeric metric
vmstat.nr_foll_pin_released	Integer	candidate_individual	scalar numeric metric
vmstat.nr_kernel_stack	Integer	candidate_individual	scalar numeric metric
vmstat.nr_page_table_pages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_sec_page_table_pages	Integer	candidate_individual	scalar numeric metric
vmstat.nr_swapcached	Integer	candidate_individual	scalar numeric metric
vmstat.nr_dirty_threshold	Integer	candidate_individual	scalar numeric metric
vmstat.nr_dirty_background_threshold	Integer	candidate_individual	scalar numeric metric
vmstat.pgpgin	Integer	candidate_individual	scalar numeric metric
vmstat.pgpgout	Integer	candidate_individual	scalar numeric metric
vmstat.pswpin	Integer	existing_individual	metric article exists
vmstat.pswpout	Integer	existing_individual	metric article exists
vmstat.pgalloc_dma32	Integer	candidate_individual	scalar numeric metric
vmstat.pgalloc_normal	Integer	candidate_individual	scalar numeric metric
vmstat.pgalloc_movable	Integer	candidate_individual	scalar numeric metric
vmstat.pgalloc_device	Integer	candidate_individual	scalar numeric metric
vmstat.allocstall_dma32	Integer	candidate_individual	scalar numeric metric
vmstat.allocstall_normal	Integer	candidate_individual	scalar numeric metric
vmstat.allocstall_movable	Integer	candidate_individual	scalar numeric metric
vmstat.allocstall_device	Integer	candidate_individual	scalar numeric metric
vmstat.pgskip_dma32	Integer	candidate_individual	scalar numeric metric
vmstat.pgskip_normal	Integer	candidate_individual	scalar numeric metric
vmstat.pgskip_movable	Integer	candidate_individual	scalar numeric metric
vmstat.pgskip_device	Integer	candidate_individual	scalar numeric metric
vmstat.pgfree	Integer	candidate_individual	scalar numeric metric
vmstat.pgactivate	Integer	candidate_individual	scalar numeric metric
vmstat.pgdeactivate	Integer	candidate_individual	scalar numeric metric
vmstat.pglazyfree	Integer	candidate_individual	scalar numeric metric
vmstat.pgfault	Integer	candidate_individual	scalar numeric metric
vmstat.pgmajfault	Integer	existing_individual	metric article exists
vmstat.pglazyfreed	Integer	candidate_individual	scalar numeric metric
vmstat.pgrefill	Integer	candidate_individual	scalar numeric metric
vmstat.pgreuse	Integer	candidate_individual	scalar numeric metric
vmstat.pgsteal_kswapd	Integer	candidate_individual	scalar numeric metric
vmstat.pgsteal_direct	Integer	candidate_individual	scalar numeric metric
vmstat.pgsteal_khugepaged	Integer	candidate_individual	scalar numeric metric
vmstat.pgdemote_kswapd	Integer	candidate_individual	scalar numeric metric
vmstat.pgdemote_direct	Integer	candidate_individual	scalar numeric metric
vmstat.pgdemote_khugepaged	Integer	candidate_individual	scalar numeric metric
vmstat.pgscan_kswapd	Integer	candidate_individual	scalar numeric metric
vmstat.pgscan_direct	Integer	candidate_individual	scalar numeric metric
vmstat.pgscan_khugepaged	Integer	candidate_individual	scalar numeric metric
vmstat.pgscan_direct_throttle	Integer	candidate_individual	scalar numeric metric
vmstat.pgscan_anon	Integer	candidate_individual	scalar numeric metric
vmstat.pgscan_file	Integer	candidate_individual	scalar numeric metric
vmstat.pgsteal_anon	Integer	candidate_individual	scalar numeric metric
vmstat.pgsteal_file	Integer	candidate_individual	scalar numeric metric
vmstat.zone_reclaim_failed	Integer	candidate_individual	scalar numeric metric
vmstat.pginodesteal	Integer	candidate_individual	scalar numeric metric
vmstat.slabs_scanned	Integer	candidate_individual	scalar numeric metric
vmstat.kswapd_inodesteal	Integer	candidate_individual	scalar numeric metric
vmstat.kswapd_low_wmark_hit_quickly	Integer	candidate_individual	scalar numeric metric
vmstat.kswapd_high_wmark_hit_quickly	Integer	candidate_individual	scalar numeric metric
vmstat.pageoutrun	Integer	candidate_individual	scalar numeric metric
vmstat.pgrotated	Integer	candidate_individual	scalar numeric metric
vmstat.drop_pagecache	Integer	candidate_individual	scalar numeric metric
vmstat.drop_slab	Integer	candidate_individual	scalar numeric metric
vmstat.oom_kill	Integer	candidate_individual	scalar numeric metric
vmstat.pgmigrate_success	Integer	candidate_individual	scalar numeric metric
vmstat.pgmigrate_fail	Integer	candidate_individual	scalar numeric metric
vmstat.thp_migration_success	Integer	candidate_individual	scalar numeric metric
vmstat.thp_migration_fail	Integer	candidate_individual	scalar numeric metric
vmstat.thp_migration_split	Integer	candidate_individual	scalar numeric metric
vmstat.compact_migrate_scanned	Integer	candidate_individual	scalar numeric metric
vmstat.compact_free_scanned	Integer	candidate_individual	scalar numeric metric
vmstat.compact_isolated	Integer	candidate_individual	scalar numeric metric
vmstat.compact_stall	Integer	candidate_individual	scalar numeric metric
vmstat.compact_fail	Integer	candidate_individual	scalar numeric metric
vmstat.compact_success	Integer	candidate_individual	scalar numeric metric
vmstat.compact_daemon_wake	Integer	candidate_individual	scalar numeric metric
vmstat.compact_daemon_migrate_scanned	Integer	candidate_individual	scalar numeric metric
vmstat.compact_daemon_free_scanned	Integer	candidate_individual	scalar numeric metric
vmstat.htlb_buddy_alloc_success	Integer	candidate_individual	scalar numeric metric
vmstat.htlb_buddy_alloc_fail	Integer	candidate_individual	scalar numeric metric
vmstat.unevictable_pgs_culled	Integer	candidate_individual	scalar numeric metric
vmstat.unevictable_pgs_scanned	Integer	candidate_individual	scalar numeric metric
vmstat.unevictable_pgs_rescued	Integer	candidate_individual	scalar numeric metric
vmstat.unevictable_pgs_mlocked	Integer	candidate_individual	scalar numeric metric
vmstat.unevictable_pgs_munlocked	Integer	candidate_individual	scalar numeric metric
vmstat.unevictable_pgs_cleared	Integer	candidate_individual	scalar numeric metric
vmstat.unevictable_pgs_stranded	Integer	candidate_individual	scalar numeric metric
vmstat.thp_fault_alloc	Integer	candidate_individual	scalar numeric metric
vmstat.thp_fault_fallback	Integer	candidate_individual	scalar numeric metric
vmstat.thp_fault_fallback_charge	Integer	candidate_individual	scalar numeric metric
vmstat.thp_collapse_alloc	Integer	candidate_individual	scalar numeric metric
vmstat.thp_collapse_alloc_failed	Integer	candidate_individual	scalar numeric metric
vmstat.thp_file_alloc	Integer	candidate_individual	scalar numeric metric
vmstat.thp_file_fallback	Integer	candidate_individual	scalar numeric metric
vmstat.thp_file_fallback_charge	Integer	candidate_individual	scalar numeric metric
vmstat.thp_file_mapped	Integer	candidate_individual	scalar numeric metric
vmstat.thp_split_page	Integer	candidate_individual	scalar numeric metric
vmstat.thp_split_page_failed	Integer	candidate_individual	scalar numeric metric
vmstat.thp_deferred_split_page	Integer	candidate_individual	scalar numeric metric
vmstat.thp_split_pmd	Integer	candidate_individual	scalar numeric metric
vmstat.thp_scan_exceed_none_pte	Integer	candidate_individual	scalar numeric metric
vmstat.thp_scan_exceed_swap_pte	Integer	candidate_individual	scalar numeric metric
vmstat.thp_scan_exceed_share_pte	Integer	candidate_individual	scalar numeric metric
vmstat.thp_split_pud	Integer	candidate_individual	scalar numeric metric
vmstat.thp_zero_page_alloc	Integer	candidate_individual	scalar numeric metric
vmstat.thp_zero_page_alloc_failed	Integer	candidate_individual	scalar numeric metric
vmstat.thp_swpout	Integer	candidate_individual	scalar numeric metric
vmstat.thp_swpout_fallback	Integer	candidate_individual	scalar numeric metric
vmstat.balloon_inflate	Integer	candidate_individual	scalar numeric metric
vmstat.balloon_deflate	Integer	candidate_individual	scalar numeric metric
vmstat.balloon_migrate	Integer	candidate_individual	scalar numeric metric
vmstat.swap_ra	Integer	candidate_individual	scalar numeric metric
vmstat.swap_ra_hit	Integer	candidate_individual	scalar numeric metric
vmstat.ksm_swpin_copy	Integer	candidate_individual	scalar numeric metric
vmstat.cow_ksm	Integer	candidate_individual	scalar numeric metric
vmstat.direct_map_level2_splits	Integer	candidate_individual	scalar numeric metric
vmstat.direct_map_level3_splits	Integer	candidate_individual	scalar numeric metric
vmstat.nr_unstable	Integer	candidate_individual	scalar numeric metric
zoneinfo.zone_count	Integer	candidate_individual	scalar numeric metric
zoneinfo.zones	Table	hard_table	table structure varies; best as source/group guide
